,online_order,book_table,location,rest_type,cuisines,approx_cost(for two people),listed_in(type),listed_in(city),target
0,1,1,Banashankari,Casual Dining,"North Indian, Mughlai, Chinese",800,5,Banashankari,1
1,1,0,Banashankari,Casual Dining,"Chinese, North Indian, Thai",800,5,Banashankari,1
2,1,0,Banashankari,other,"Cafe, Mexican, Italian",800,5,Banashankari,1
3,0,0,Banashankari,Quick Bites,"South Indian, North Indian",300,5,Banashankari,1
4,0,0,Basavanagudi,Casual Dining,"North Indian, Rajasthani",600,5,Banashankari,1
5,1,0,Basavanagudi,Casual Dining,North Indian,600,5,Banashankari,1
6,0,0,other,Casual Dining,"North Indian, South Indian, Andhra, Chinese",800,5,Banashankari,1
7,1,1,Banashankari,"Casual Dining, Cafe","Pizza, Cafe, Italian",600,3,Banashankari,1
8,1,0,Banashankari,Cafe,"Cafe, Italian, Continental",700,3,Banashankari,1
9,1,0,Banashankari,Cafe,"Cafe, Mexican, Italian, Momos, Beverages",550,3,Banashankari,1
10,1,0,Banashankari,Cafe,Cafe,500,3,Banashankari,1
11,1,1,Banashankari,Cafe,"Cafe, Italian, Continental",600,3,Banashankari,1
12,1,1,Banashankari,Cafe,"Cafe, Chinese, Continental, Italian",500,3,Banashankari,1
13,0,0,Banashankari,Cafe,"Cafe, Continental",450,3,Banashankari,1
14,1,0,Banashankari,other,"Cafe, Mexican, Italian",800,3,Banashankari,1
15,1,0,Banashankari,Cafe,Cafe,650,3,Banashankari,1
16,1,0,Banashankari,Cafe,"Cafe, Fast Food, Continental, Chinese, Momos",800,3,Banashankari,1
17,1,0,Banashankari,Cafe,"Chinese, Cafe, Italian",700,3,Banashankari,1
18,0,0,Banashankari,Cafe,"Cafe, Italian, American",300,3,Banashankari,1
19,1,0,Banashankari,Cafe,"Cafe, Chinese, Continental, Italian",400,3,Banashankari,0
20,1,0,Banashankari,Cafe,"Cafe, French, North Indian",400,3,Banashankari,0
21,1,0,Banashankari,Cafe,"Cafe, Pizza, Fast Food, Beverages",500,3,Banashankari,1
22,0,0,Banashankari,Cafe,"Cafe, Fast Food",900,3,Banashankari,1
23,1,0,Banashankari,other,"Italian, Fast Food, Cafe, European",600,3,Banashankari,1
24,0,0,Banashankari,Cafe,Cafe,300,3,Banashankari,1
25,0,0,Banashankari,Cafe,"Cafe, Bakery",600,3,Banashankari,0
26,1,0,Banashankari,other,"Cafe, South Indian",200,3,Banashankari,1
27,0,0,Banashankari,Cafe,"Cafe, Fast Food, Beverages",500,3,Banashankari,0
28,0,0,Banashankari,Cafe,"Cafe, Fast Food",550,3,Banashankari,0
29,0,0,Basavanagudi,"Casual Dining, Cafe","North Indian, Cafe, Chinese, Fast Food",550,3,Banashankari,1
30,1,0,Basavanagudi,Cafe,"Cafe, Italian",600,3,Banashankari,1
31,1,0,Banashankari,Quick Bites,"North Indian, Fast Food, Chinese, Burger",500,0,Banashankari,0
32,1,0,Banashankari,Delivery,"Bakery, Desserts",500,0,Banashankari,1
33,1,0,Banashankari,Delivery,Pizza,750,0,Banashankari,1
34,1,0,Banashankari,Quick Bites,"North Indian, Biryani, Fast Food",500,0,Banashankari,1
35,1,0,Banashankari,Delivery,Biryani,650,0,Banashankari,1
36,1,0,Banashankari,Quick Bites,"North Indian, Chinese, Fast Food",400,0,Banashankari,0
37,1,0,Banashankari,Casual Dining,"Chinese, Thai, Momos",600,0,Banashankari,1
38,1,0,Jayanagar,Casual Dining,"North Indian, Mughlai, South Indian, Chinese",750,0,Banashankari,1
39,1,0,Banashankari,Quick Bites,South Indian,150,0,Banashankari,1
40,1,0,Basavanagudi,Quick Bites,"Street Food, Fast Food",200,0,Banashankari,1
41,0,0,Banashankari,Mess,South Indian,300,0,Banashankari,1
42,1,0,Banashankari,Quick Bites,"Burger, Fast Food",500,0,Banashankari,1
43,1,0,Banashankari,Quick Bites,"Pizza, Fast Food",800,0,Banashankari,1
44,1,1,Banashankari,"Casual Dining, Cafe","Pizza, Cafe, Italian",600,0,Banashankari,1
45,0,0,Banashankari,Delivery,"North Indian, Continental, Italian",400,0,Banashankari,1
46,1,0,other,Quick Bites,"North Indian, Chinese",300,0,Banashankari,1
47,1,0,other,Casual Dining,"North Indian, Chinese, Biryani, Rolls",450,0,Banashankari,1
48,1,0,other,Casual Dining,"Chinese, Thai",850,0,Banashankari,1
49,1,0,other,Quick Bites,"North Indian, Chinese, Momos, Rolls",300,0,Banashankari,0
50,0,0,Banashankari,Quick Bites,North Indian,450,0,Banashankari,1
51,1,0,other,Quick Bites,"Fast Food, Street Food, Beverages",150,0,Banashankari,1
52,0,0,Banashankari,Dessert Parlor,"Ice Cream, Desserts",400,0,Banashankari,1
53,1,0,Jayanagar,Casual Dining,"Biryani, North Indian, Chinese, Andhra, South Indian",750,0,Banashankari,1
54,0,0,Banashankari,Quick Bites,"Italian, Continental, Fast Food, Chinese, Momos",450,0,Banashankari,1
55,1,0,Banashankari,Delivery,"Healthy Food, Chinese, Biryani, North Indian, Continental, Salad, American, Burger",450,0,Banashankari,1
56,1,0,Banashankari,Quick Bites,"Biryani, Fast Food",300,0,Banashankari,1
57,1,1,Banashankari,Casual Dining,"Asian, Korean, Indonesian, Japanese, Chinese, Thai, Momos",800,0,Banashankari,1
58,0,0,Banashankari,Quick Bites,"Fast Food, Burger",200,0,Banashankari,1
59,1,0,Banashankari,Dessert Parlor,"Desserts, Beverages",400,0,Banashankari,1
60,0,0,Banashankari,Casual Dining,"Italian, North Indian, Mexican",800,0,Banashankari,1
61,1,1,other,Casual Dining,"Goan, Seafood, North Indian, Chinese, Biryani",800,0,Banashankari,1
62,1,0,Basavanagudi,Quick Bites,Chinese,150,0,Banashankari,1
63,0,1,Banashankari,Casual Dining,"North Indian, Chinese",850,0,Banashankari,1
64,0,0,Banashankari,other,Bakery,150,0,Banashankari,1
65,1,0,Basavanagudi,Quick Bites,"North Indian, Kebab, Chinese, Fast Food",400,0,Banashankari,1
66,1,0,Jayanagar,Quick Bites,South Indian,100,0,Banashankari,1
67,0,0,Banashankari,Pub,"Continental, Italian, Mexican, North Indian, Chinese, Steak",1200,0,Banashankari,1
68,0,0,Banashankari,Bakery,"Bakery, Desserts",300,0,Banashankari,1
69,1,0,Basavanagudi,Quick Bites,"Burger, Fast Food, Beverages",600,0,Banashankari,0
70,1,0,Banashankari,"Takeaway, Delivery","Italian, North Indian, Biryani",500,0,Banashankari,1
71,0,0,Banashankari,Quick Bites,"Biryani, Chinese, Kebab",300,0,Banashankari,1
72,0,0,Banashankari,Quick Bites,North Indian,150,0,Banashankari,0
73,0,0,Banashankari,Delivery,"Chinese, Continental, Italian, North Indian",700,0,Banashankari,0
74,0,0,Banashankari,Quick Bites,"Fast Food, Rolls, Momos",300,0,Banashankari,1
75,0,0,Banashankari,"Takeaway, Delivery","Street Food, Fast Food",500,0,Banashankari,0
76,1,0,Basavanagudi,Quick Bites,South Indian,150,0,Banashankari,1
77,1,0,Banashankari,Quick Bites,"Biryani, South Indian",300,0,Banashankari,1
78,0,0,Banashankari,Quick Bites,Fast Food,500,0,Banashankari,1
79,0,0,Banashankari,Quick Bites,"South Indian, Chinese, North Indian",350,0,Banashankari,1
80,1,0,other,Fine Dining,"Seafood, North Indian, Chinese, Andhra, Biryani, Kebab",500,0,Banashankari,1
81,1,0,Banashankari,Beverage Shop,"Beverages, Desserts, Ice Cream",400,0,Banashankari,1
82,0,0,Banashankari,Sweet Shop,"Mithai, Street Food",200,0,Banashankari,1
83,0,0,Banashankari,Casual Dining,"North Indian, Chinese",700,0,Banashankari,1
84,0,0,Banashankari,Quick Bites,"South Indian, Chinese",100,0,Banashankari,0
85,0,0,Banashankari,Bakery,"Bakery, Desserts",300,0,Banashankari,1
86,1,0,Jayanagar,Casual Dining,"Biryani, North Indian, Chinese",600,0,Banashankari,1
87,0,0,Banashankari,Quick Bites,North Indian,200,0,Banashankari,1
88,0,0,Banashankari,Dessert Parlor,Desserts,500,0,Banashankari,1
89,0,0,Banashankari,Quick Bites,Biryani,250,0,Banashankari,1
90,0,0,Banashankari,Delivery,"Bakery, Desserts",500,0,Banashankari,0
91,0,0,Banashankari,"Takeaway, Delivery",South Indian,400,0,Banashankari,0
92,0,0,Banashankari,Mess,South Indian,200,0,Banashankari,0
93,0,0,Banashankari,Dessert Parlor,Ice Cream,300,0,Banashankari,0
94,0,0,Banashankari,Casual Dining,North Indian,600,0,Banashankari,0
95,0,0,Banashankari,Bar,"South Indian, North Indian, Chinese",800,0,Banashankari,0
96,0,0,Banashankari,Quick Bites,"Fast Food, Bakery",250,0,Banashankari,1
97,0,0,Banashankari,Casual Dining,"North Indian, Iranian",950,0,Banashankari,1
98,0,0,Banashankari,Quick Bites,"Fast Food, Street Food",300,0,Banashankari,1
99,1,0,Basavanagudi,Dessert Parlor,"Ice Cream, Desserts, Beverages, Sandwich",400,0,Banashankari,1
100,0,0,Banashankari,Quick Bites,South Indian,300,0,Banashankari,1
101,0,0,Banashankari,Quick Bites,South Indian,200,0,Banashankari,1
102,0,0,Banashankari,Quick Bites,"South Indian, Biryani",300,0,Banashankari,1
103,0,0,Banashankari,"Takeaway, Delivery",Bakery,400,0,Banashankari,1
104,0,0,Banashankari,Cafe,"Cafe, Bakery",600,0,Banashankari,0
105,0,0,Banashankari,Bakery,"Bakery, Desserts",300,0,Banashankari,1
106,0,0,Banashankari,Quick Bites,"Biryani, North Indian, Chinese, Fast Food",300,0,Banashankari,0
107,0,0,Banashankari,"Takeaway, Delivery",Beverages,250,0,Banashankari,0
108,0,0,Banashankari,Quick Bites,Biryani,300,0,Banashankari,0
109,0,0,Banashankari,Quick Bites,North Indian,300,0,Banashankari,0
110,0,0,Banashankari,"Takeaway, Delivery","Sandwich, Pizza, Beverages",200,0,Banashankari,0
111,0,0,Banashankari,Quick Bites,North Indian,150,0,Banashankari,0
112,0,0,Banashankari,Bakery,"Bakery, Desserts",400,0,Banashankari,0
113,0,0,Banashankari,Dessert Parlor,Mithai,150,0,Banashankari,0
114,0,0,Banashankari,Bakery,Bakery,300,0,Banashankari,0
115,0,0,Banashankari,Quick Bites,"North Indian, Street Food",200,0,Banashankari,0
116,0,0,Banashankari,"Takeaway, Delivery",South Indian,150,0,Banashankari,0
117,0,0,Banashankari,Dessert Parlor,"Ice Cream, Desserts, Juices",150,0,Banashankari,0
118,0,0,Banashankari,Quick Bites,"Mangalorean, South Indian, North Indian",250,0,Banashankari,0
119,0,0,Banashankari,Bar,"Chinese, North Indian",1000,0,Banashankari,0
120,1,0,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",300,0,Banashankari,1
121,0,0,Banashankari,Quick Bites,"Mangalorean, South Indian, North Indian",200,0,Banashankari,0
122,0,0,Banashankari,Quick Bites,"Fast Food, South Indian",100,0,Banashankari,0
123,0,0,Banashankari,Quick Bites,"Street Food, Fast Food",200,0,Banashankari,0
124,0,0,Banashankari,Dessert Parlor,"Ice Cream, Desserts",200,0,Banashankari,0
125,0,0,Banashankari,Delivery,"South Indian, North Indian, Continental",400,0,Banashankari,0
126,0,0,Banashankari,Quick Bites,"Biryani, Chinese, South Indian, North Indian",350,0,Banashankari,0
127,0,0,Banashankari,Delivery,South Indian,100,0,Banashankari,0
128,0,0,Banashankari,Quick Bites,"Rolls, North Indian",150,0,Banashankari,0
129,0,0,Banashankari,Quick Bites,South Indian,150,0,Banashankari,0
130,0,0,Banashankari,"Takeaway, Delivery","Biryani, Rolls, Chinese",200,0,Banashankari,0
131,0,0,Banashankari,Quick Bites,North Indian,100,0,Banashankari,0
132,0,0,Banashankari,Quick Bites,"Biryani, Fast Food",400,0,Banashankari,0
133,0,0,Banashankari,Beverage Shop,"Beverages, Juices",200,0,Banashankari,0
134,0,0,Banashankari,"Beverage Shop, Quick Bites","Beverages, Fast Food, Juices",150,0,Banashankari,0
135,0,0,Banashankari,"Takeaway, Delivery",South Indian,400,0,Banashankari,0
136,0,0,Banashankari,Quick Bites,"South Indian, Chinese",150,0,Banashankari,0
137,0,0,Banashankari,Quick Bites,Andhra,250,0,Banashankari,0
138,0,0,Banashankari,Quick Bites,Biryani,250,0,Banashankari,0
139,0,0,Banashankari,Quick Bites,"South Indian, Biryani",150,0,Banashankari,0
140,0,0,Banashankari,other,Desserts,200,0,Banashankari,0
141,0,0,Banashankari,other,"Healthy Food, Juices, Sandwich",350,0,Banashankari,0
142,0,0,Banashankari,Quick Bites,"South Indian, Biryani",300,0,Banashankari,0
143,0,0,Banashankari,"Takeaway, Delivery","Pizza, Fast Food",100,0,Banashankari,0
144,0,0,Banashankari,Quick Bites,"South Indian, Beverages",150,0,Banashankari,0
145,1,0,Banashankari,Casual Dining,"South Indian, North Indian, Chinese",450,0,Banashankari,1
146,0,0,Banashankari,Bar,"North Indian, Chinese",800,0,Banashankari,0
147,1,0,Basavanagudi,Quick Bites,South Indian,200,0,Banashankari,1
148,1,1,Jayanagar,Casual Dining,"South Indian, North Indian, Chinese, Beverages",500,0,Banashankari,1
149,1,0,Banashankari,Quick Bites,"South Indian, Chinese, North Indian, Juices",300,0,Banashankari,1
150,1,0,Basavanagudi,Casual Dining,"North Indian, Kebab, Biryani, Chinese",650,0,Banashankari,1
151,1,0,other,Quick Bites,"Chinese, North Indian, Mughlai, Rolls",400,0,Banashankari,1
152,1,0,Banashankari,"Takeaway, Delivery","North Indian, Mughlai, Fast Food",500,0,Banashankari,1
153,1,0,Banashankari,Quick Bites,"Burger, Fast Food",450,0,Banashankari,1
154,0,0,Banashankari,Quick Bites,Fast Food,100,0,Banashankari,0
155,1,0,Jayanagar,Dessert Parlor,"Desserts, Ice Cream, Beverages, Fast Food, Sandwich",500,0,Banashankari,1
156,1,0,other,Casual Dining,"North Indian, Chinese, Biryani, Beverages",750,0,Banashankari,1
157,1,0,other,Beverage Shop,"Beverages, Juices, Ice Cream",150,0,Banashankari,1
158,1,0,other,Quick Bites,"North Indian, Chinese",250,0,Banashankari,0
159,1,0,Jayanagar,Quick Bites,"North Indian, Mughlai, Chinese",350,0,Banashankari,1
160,1,0,Basavanagudi,"Takeaway, Delivery",Biryani,300,0,Banashankari,0
161,1,0,Banashankari,Quick Bites,Biryani,300,0,Banashankari,0
162,1,0,Jayanagar,Casual Dining,"Chinese, Seafood, Biryani",800,0,Banashankari,1
163,1,0,Basavanagudi,other,"Desserts, Mithai",300,0,Banashankari,0
164,1,0,Jayanagar,Cafe,"Cafe, Beverages",400,0,Banashankari,1
165,1,0,Basavanagudi,Quick Bites,"South Indian, Chinese",150,0,Banashankari,1
166,1,1,Jayanagar,Casual Dining,"Thai, Vietnamese, Asian, Chinese",1200,0,Banashankari,1
167,1,0,Basavanagudi,Beverage Shop,"Beverages, Ice Cream",150,0,Banashankari,1
168,1,0,other,Quick Bites,"South Indian, North Indian, Chinese, Juices",300,0,Banashankari,0
169,1,0,Banashankari,Sweet Shop,"Mithai, Street Food",400,0,Banashankari,1
170,1,0,Banashankari,"Takeaway, Delivery","Italian, Pizza",400,0,Banashankari,1
171,1,0,Banashankari,Quick Bites,Biryani,200,0,Banashankari,1
172,1,0,Banashankari,Quick Bites,"North Indian, Fast Food, Rolls",250,0,Banashankari,1
173,1,0,Basavanagudi,Bakery,Bakery,400,0,Banashankari,1
174,1,0,Basavanagudi,Quick Bites,"Salad, Healthy Food, Sandwich, Juices, Burger, Desserts, Pizza",500,0,Banashankari,1
175,1,0,Banashankari,Quick Bites,South Indian,150,0,Banashankari,1
176,1,0,Banashankari,Quick Bites,"North Indian, Chinese, Biryani, Kebab",450,0,Banashankari,0
177,1,0,Basavanagudi,Quick Bites,Street Food,200,0,Banashankari,1
178,1,0,other,Quick Bites,"Fast Food, Pizza",250,0,Banashankari,1
179,1,0,Banashankari,Casual Dining,"Biryani, Andhra, Hyderabadi, North Indian",700,0,Banashankari,0
180,1,1,Jayanagar,Cafe,"Cafe, Burger, Continental, Italian, Desserts",650,0,Banashankari,1
181,1,0,Jayanagar,Beverage Shop,"Beverages, Sandwich",300,0,Banashankari,1
182,1,0,other,Casual Dining,Italian,700,0,Banashankari,1
183,1,0,Banashankari,Quick Bites,"Fast Food, Italian, Beverages",500,0,Banashankari,1
184,1,0,other,Quick Bites,"Bengali, Chinese, Sandwich",350,0,Banashankari,1
185,1,0,Banashankari,Dessert Parlor,Ice Cream,150,0,Banashankari,1
186,1,0,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Biryani",400,0,Banashankari,1
187,1,0,Basavanagudi,Quick Bites,South Indian,100,0,Banashankari,1
188,1,0,Jayanagar,Quick Bites,"North Indian, Street Food, Juices",200,0,Banashankari,1
189,1,0,other,Quick Bites,South Indian,150,0,Banashankari,1
190,1,0,other,Quick Bites,Arabian,300,0,Banashankari,1
191,1,0,Banashankari,Quick Bites,North Indian,350,0,Banashankari,1
192,1,0,Basavanagudi,Quick Bites,South Indian,100,0,Banashankari,1
193,1,0,Banashankari,Cafe,Cafe,500,0,Banashankari,1
194,1,0,Basavanagudi,Casual Dining,"North Indian, Chinese, Beverages",750,0,Banashankari,1
195,1,0,other,Casual Dining,"BBQ, Arabian, Rolls, Chinese, North Indian, Juices, Kebab, Desserts",550,0,Banashankari,0
196,1,0,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",200,0,Banashankari,1
197,1,0,Banashankari,Quick Bites,South Indian,300,0,Banashankari,0
198,1,0,Banashankari,Quick Bites,South Indian,200,0,Banashankari,1
199,1,0,Banashankari,Cafe,"Cafe, French, North Indian",400,0,Banashankari,0
200,1,0,Banashankari,Casual Dining,"Pizza, Fast Food",750,0,Banashankari,1
201,1,0,Jayanagar,Casual Dining,"Mangalorean, Seafood, Chinese, Biryani",650,0,Banashankari,1
202,1,0,Basavanagudi,Dessert Parlor,Fast Food,250,0,Banashankari,1
203,1,0,Basavanagudi,Quick Bites,"Continental, Fast Food, Street Food, Momos",500,0,Banashankari,1
204,1,0,Basavanagudi,Quick Bites,"Street Food, Fast Food",250,0,Banashankari,1
205,1,0,Banashankari,Quick Bites,"Pizza, Sandwich, Burger, Fast Food",150,0,Banashankari,1
206,1,0,Banashankari,Casual Dining,North Indian,500,0,Banashankari,0
207,1,1,Jayanagar,Casual Dining,"North Indian, Chinese, BBQ",1500,0,Banashankari,1
208,1,0,Jayanagar,Quick Bites,"Chinese, Fast Food",300,0,Banashankari,1
209,1,0,Banashankari,Casual Dining,"North Indian, Chinese, Continental",800,0,Banashankari,1
210,1,0,other,Casual Dining,"North Indian, Chinese",700,0,Banashankari,1
211,1,0,Banashankari,Casual Dining,Vietnamese,700,0,Banashankari,1
212,1,0,Banashankari,Cafe,"Cafe, Mexican, Italian, Momos, Beverages",550,0,Banashankari,1
213,1,0,other,Quick Bites,"Fast Food, Street Food",200,0,Banashankari,0
214,1,0,other,Quick Bites,North Indian,300,0,Banashankari,0
215,1,0,other,Casual Dining,"North Indian, Chinese, Biryani, Kebab",500,0,Banashankari,0
216,1,0,Basavanagudi,Quick Bites,"North Indian, Chinese",300,0,Banashankari,0
217,1,1,Jayanagar,Casual Dining,"Italian, Salad",1300,0,Banashankari,1
218,1,0,other,Quick Bites,"North Indian, Chinese",350,0,Banashankari,1
219,1,0,Banashankari,Dessert Parlor,"Desserts, Ice Cream",500,0,Banashankari,1
220,1,0,Jayanagar,Casual Dining,"Andhra, Seafood, North Indian, Chinese",700,0,Banashankari,1
221,1,1,Jayanagar,Casual Dining,"Mangalorean, Seafood, South Indian",1000,0,Banashankari,1
222,1,0,Jayanagar,Quick Bites,Andhra,400,0,Banashankari,0
223,1,0,Jayanagar,Casual Dining,"South Indian, Biryani, Chinese, North Indian",750,0,Banashankari,1
224,1,1,Jayanagar,Casual Dining,"South Indian, Arabian, Chinese, North Indian, Seafood, Mangalorean",500,0,Banashankari,0
225,1,0,JP Nagar,Casual Dining,South Indian,400,0,Banashankari,1
226,1,0,Jayanagar,Beverage Shop,"Beverages, Tea",250,0,Banashankari,1
227,1,0,Jayanagar,Quick Bites,"North Indian, Street Food",200,0,Banashankari,1
228,1,0,Basavanagudi,Quick Bites,"Pizza, Italian",600,0,Banashankari,1
229,1,0,other,Quick Bites,"Cafe, Burger, Beverages",650,0,Banashankari,1
230,0,0,Basavanagudi,"Casual Dining, Cafe","North Indian, Cafe, Chinese, Fast Food",550,0,Banashankari,1
231,0,0,Basavanagudi,Quick Bites,"South Indian, Mangalorean",450,0,Banashankari,1
232,0,0,Basavanagudi,Bakery,"Bakery, Desserts",300,0,Banashankari,0
233,0,0,JP Nagar,Dessert Parlor,Ice Cream,200,0,Banashankari,0
234,0,0,other,Quick Bites,South Indian,300,0,Banashankari,1
235,0,0,Basavanagudi,Casual Dining,"North Indian, Chinese, South Indian, Fast Food, Juices",450,0,Banashankari,1
236,0,0,Basavanagudi,Quick Bites,"Andhra, South Indian, Biryani, North Indian",450,0,Banashankari,1
237,0,0,Basavanagudi,Quick Bites,"Fast Food, Street Food",150,0,Banashankari,1
238,0,0,Basavanagudi,Dessert Parlor,Desserts,250,0,Banashankari,0
239,0,0,other,Casual Dining,"North Indian, South Indian, Andhra, Chinese",800,0,Banashankari,1
240,0,0,Jayanagar,Quick Bites,South Indian,250,0,Banashankari,0
241,0,0,Basavanagudi,"Bakery, Quick Bites",Bakery,400,0,Banashankari,1
242,0,0,Basavanagudi,Quick Bites,South Indian,100,0,Banashankari,0
243,0,0,other,Quick Bites,"North Indian, Chinese",300,0,Banashankari,0
244,0,0,Jayanagar,Quick Bites,"North Indian, South Indian, Chinese, Beverages, Fast Food",200,0,Banashankari,0
245,1,0,other,Quick Bites,Street Food,200,0,Banashankari,0
246,0,0,other,Quick Bites,"North Indian, Chinese, Biryani",350,0,Banashankari,0
247,1,0,other,Quick Bites,"South Indian, North Indian",300,0,Banashankari,1
248,1,0,Jayanagar,Casual Dining,"North Indian, Chinese, Biryani, Andhra, Mangalorean",700,0,Banashankari,0
249,1,0,Basavanagudi,Sweet Shop,"Mithai, Desserts",250,0,Banashankari,1
250,1,0,other,Beverage Shop,"Juices, Beverages",100,0,Banashankari,1
251,1,0,Banashankari,Quick Bites,"Salad, Fast Food",600,0,Banashankari,1
252,1,0,other,Quick Bites,"North Indian, Chinese",250,0,Banashankari,0
253,1,0,Jayanagar,Quick Bites,"Juices, Desserts",200,0,Banashankari,1
254,1,0,Jayanagar,Cafe,"Cafe, Fast Food",900,0,Banashankari,0
255,1,0,other,Casual Dining,"South Indian, North Indian, Chinese, Street Food",400,0,Banashankari,1
256,1,0,Banashankari,Quick Bites,"South Indian, North Indian, Chinese",300,0,Banashankari,1
257,1,0,Basavanagudi,Casual Dining,North Indian,600,0,Banashankari,1
258,1,0,Banashankari,Casual Dining,"North Indian, Chinese",700,0,Banashankari,1
259,1,0,Banashankari,Casual Dining,"North Indian, Chinese",750,0,Banashankari,1
260,1,0,Jayanagar,Casual Dining,"Seafood, Biryani, South Indian, North Indian, Chinese",500,0,Banashankari,1
261,1,0,other,Quick Bites,"South Indian, Mangalorean",350,0,Banashankari,1
262,1,0,Jayanagar,Quick Bites,"South Indian, Beverages",200,0,Banashankari,1
263,1,0,Banashankari,Quick Bites,"Fast Food, Rolls",250,0,Banashankari,1
264,1,0,Basavanagudi,Casual Dining,"North Indian, Chinese, South Indian, Fast Food",600,0,Banashankari,1
265,1,0,Basavanagudi,Quick Bites,Fast Food,200,0,Banashankari,0
266,1,0,Jayanagar,Quick Bites,"North Indian, Chinese, Rolls",250,0,Banashankari,0
267,1,0,Basavanagudi,Quick Bites,"Beverages, Fast Food",150,0,Banashankari,0
268,1,0,Banashankari,other,"Italian, Fast Food, Cafe, European",600,0,Banashankari,1
269,1,0,Jayanagar,Dessert Parlor,Desserts,300,0,Banashankari,1
270,1,0,Jayanagar,Sweet Shop,"Desserts, Mithai",250,0,Banashankari,1
271,1,0,Jayanagar,Casual Dining,"North Indian, Chinese, South Indian",550,0,Banashankari,1
272,1,0,other,Quick Bites,Fast Food,300,0,Banashankari,0
273,1,0,Banashankari,Bakery,"Bakery, Desserts",350,0,Banashankari,1
274,1,0,Banashankari,Quick Bites,"South Indian, Fast Food",200,0,Banashankari,1
275,1,0,Banashankari,Casual Dining,"Biryani, North Indian, Seafood, Andhra",650,0,Banashankari,1
276,1,0,Jayanagar,Quick Bites,"South Indian, Chinese",300,0,Banashankari,0
277,1,0,other,Casual Dining,"South Indian, Chinese, Street Food, Juices",500,0,Banashankari,1
278,1,1,Jayanagar,Casual Dining,"North Indian, Afghani, Mughlai",1200,0,Banashankari,1
279,1,0,Banashankari,Cafe,Cafe,650,0,Banashankari,1
280,1,0,other,Quick Bites,"Italian, Chinese, Street Food",250,0,Banashankari,0
281,1,0,other,Casual Dining,"South Indian, North Indian",400,0,Banashankari,1
282,1,0,Banashankari,Delivery,Pizza,600,0,Banashankari,1
283,1,0,Basavanagudi,Dessert Parlor,"Desserts, Ice Cream",250,0,Banashankari,1
284,1,0,Basavanagudi,Quick Bites,South Indian,100,0,Banashankari,1
285,1,0,Jayanagar,Casual Dining,"Chinese, Thai, Momos",850,0,Banashankari,1
286,1,0,other,Casual Dining,"South Indian, North Indian, Chinese",400,0,Banashankari,0
287,1,0,Basavanagudi,Quick Bites,"South Indian, Healthy Food",200,0,Banashankari,1
288,1,0,Basavanagudi,Quick Bites,"Street Food, Fast Food",100,0,Banashankari,0
289,1,0,Basavanagudi,Dessert Parlor,Beverages,100,0,Banashankari,0
290,1,0,Jayanagar,Casual Dining,South Indian,400,0,Banashankari,1
291,1,0,Jayanagar,Cafe,"Cafe, American, Pizza",450,0,Banashankari,0
292,1,0,Basavanagudi,Quick Bites,"South Indian, Fast Food",300,0,Banashankari,1
293,1,0,Banashankari,Cafe,"Cafe, Pizza, Fast Food, Beverages",500,0,Banashankari,1
294,1,0,Basavanagudi,Quick Bites,South Indian,100,0,Banashankari,1
295,1,0,Jayanagar,Quick Bites,"Street Food, North Indian, South Indian",400,0,Banashankari,1
296,1,0,Jayanagar,Casual Dining,"North Indian, South Indian, Biryani, Beverages",900,0,Banashankari,1
297,1,0,Banashankari,Quick Bites,"South Indian, North Indian, Chinese, Street Food",200,0,Banashankari,1
298,1,0,Jayanagar,Casual Dining,"North Indian, Chinese, Rolls",550,0,Banashankari,1
299,1,0,Banashankari,Casual Dining,"Chinese, North Indian, Thai",800,0,Banashankari,1
300,1,0,Basavanagudi,Quick Bites,South Indian,200,0,Banashankari,1
301,1,0,Banashankari,Quick Bites,"South Indian, North Indian, Chinese",250,0,Banashankari,1
302,1,0,Banashankari,Quick Bites,"South Indian, Street Food",150,0,Banashankari,1
303,1,1,Banashankari,Casual Dining,"Seafood, Biryani, Beverages, South Indian, North Indian, Kebab",1200,0,Banashankari,1
304,1,0,other,Quick Bites,"North Indian, Fast Food",400,0,Banashankari,1
305,1,0,Basavanagudi,Cafe,"Cafe, Continental, Beverages, Desserts",500,0,Banashankari,1
306,1,0,other,Casual Dining,Biryani,400,0,Banashankari,0
307,1,0,Banashankari,Cafe,"Cafe, Italian, Continental",700,0,Banashankari,1
308,1,0,other,Quick Bites,"North Indian, Chinese, Rolls, Biryani, Kebab",400,0,Banashankari,0
309,1,0,other,Casual Dining,"South Indian, North Indian, Chinese, Beverages",400,0,Banashankari,0
310,1,0,Banashankari,Cafe,"Cafe, Fast Food, Continental, Chinese, Momos",800,0,Banashankari,1
311,1,0,Banashankari,Casual Dining,"Pizza, Italian, Salad",800,0,Banashankari,0
312,1,0,other,Quick Bites,"Fast Food, Chinese, Rolls",300,0,Banashankari,1
313,1,0,Banashankari,Quick Bites,"Fast Food, Chinese",200,0,Banashankari,1
314,1,0,other,Delivery,"Mexican, Italian",600,0,Banashankari,1
315,1,1,Jayanagar,Casual Dining,"North Indian, Chinese",900,0,Banashankari,1
